cpu_percent,memory_percent,rss_mb,read_bytes_per_sec,write_bytes_per_sec,context_switches_per_sec,minor_page_faults_per_sec,major_page_faults_per_sec,num_threads,workload_type
99.7,0.1181,9.15,0.0,0.0,4.98,0.0,0.0,1,cpu
100.1,0.1181,9.15,0.0,0.0,2.57,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,3.99,0.0,0.0,1,cpu
99.7,0.1181,9.15,0.0,0.0,0.66,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,5.48,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,4.49,0.0,0.0,1,cpu
99.7,0.1181,9.15,0.0,0.0,3.49,0.0,0.0,1,cpu
100.1,0.1181,9.15,0.0,0.0,3.49,0.0,0.0,1,cpu
100.1,0.1181,9.15,0.0,0.0,4.48,0.0,0.0,1,cpu
99.7,0.1181,9.15,0.0,0.0,3.99,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,3.49,0.0,0.0,1,cpu
99.7,0.1181,9.15,0.0,0.0,0.0,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,5.48,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,3.97,0.0,0.0,1,cpu
99.7,0.1181,9.15,0.0,0.0,4.49,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,4.98,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,2.5,0.0,0.0,1,cpu
99.7,0.1181,9.15,0.0,0.0,3.99,0.0,0.0,1,cpu
100.1,0.1181,9.15,0.0,0.0,4.05,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,3.49,0.0,0.0,1,cpu
99.7,0.1181,9.15,0.0,0.0,3.49,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,2.94,0.0,0.0,1,cpu
100.2,0.1181,9.15,0.0,0.0,4.98,0.0,0.0,1,cpu
11.0,0.1304,10.11,8162.23,241863103.57,462.81,0.0,0.0,1,io
9.0,0.1304,10.11,6120.83,205268045.78,393.51,0.0,0.0,1,io
8.5,0.1304,10.11,4080.95,165066110.11,315.83,0.0,0.0,1,io
9.0,0.1304,10.11,4080.17,143099579.85,274.43,0.0,0.0,1,io
10.0,0.1304,10.11,6121.46,157754103.85,302.88,0.0,0.0,1,io
5.5,0.1304,10.11,0.0,0.0,0.0,0.0,0.0,1,io
5.5,0.1304,10.11,0.0,54807947.37,105.04,0.0,0.0,1,io
5.5,0.1304,10.11,2039.1,62119020.83,118.98,0.0,0.0,1,io
5.0,0.1304,10.11,2043.93,61743080.9,121.76,0.0,0.0,1,io
5.5,0.1304,10.11,2039.34,71001652.91,135.42,0.0,0.0,1,io
9.0,0.1304,10.11,6033.61,146222418.98,285.77,0.0,0.0,1,io
